Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/sendWriteRequest;4.0.0;3;2;1;0;2;0;2;1;1;3;5;1;6;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/unsetSuccessAndSendWriteRequest;4.0.0;14;6;6;0;1;2;6;1;1;3;25;16;41;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/initiate;4.0.0;5;2;1;0;1;1;2;2;1;0;0;0;0;0;No
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/writeComplete;4.0.0;23;7;5;0;5;2;5;2;1;5;25;8;33;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/submitCallback;4.0.0;3;1;0;0;1;0;2;0;1;1;1;0;1;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java/operationComplete;4.0.0;44;6;6;0;2;2;8;2;1;8;31;48;79;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java/processResult;4.0.0;8;1;0;0;4;0;2;0;1;0;0;0;0;0;No
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/getLedgerDigestType;4.0.0;12;1;0;0;1;0;1;0;1;1;1;0;1;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/getLedgerPasswd;4.0.0;12;1;0;0;1;0;1;0;2;2;3;0;3;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/recoverBookieData;4.0.0;35;3;2;0;2;1;4;2;1;2;18;1;19;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/recoverComplete;4.0.0;8;1;0;0;2;0;3;1;1;1;5;0;5;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/asyncRecoverBookieData;4.0.0;33;2;1;0;4;1;1;0;1;2;3;1;4;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/processResult;4.0.0;7;2;1;0;3;1;2;0;1;0;0;0;0;0;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/getAvailableBookies;4.0.0;41;5;6;0;4;3;2;3;1;2;2;2;4;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/processResult;4.0.0;14;4;4;0;4;2;3;2;1;1;1;1;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/getActiveLedgers;4.0.0;37;1;0;0;5;0;3;2;1;3;29;2;31;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/getNewBookie;4.0.0;11;2;1;0;2;1;5;1;1;0;0;0;0;0;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/recoverLedger;4.0.0;96;11;12;0;4;3;4;11;1;6;66;42;108;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/openComplete;4.0.0;65;10;11;0;3;3;8;9;1;5;49;7;56;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/recoverLedgerFragment;4.0.0;55;7;7;0;6;2;8;7;1;5;49;32;81;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/recoverLedgerFragmentEntry;4.0.0;51;4;4;0;4;2;1;3;1;6;29;16;45;3;Yes
