Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/fireGenerationEvent;0.9.0;14;5;5;2;1;2;4;3;1;3;19;3;22;2;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/getTables;0.9.0;15;4;4;1;1;2;6;5;1;1;3;0;3;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/remove;0.9.0;10;3;2;1;0;1;5;4;1;1;5;0;5;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/setName;0.9.0;10;3;2;1;1;1;3;0;1;2;2;3;5;2;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/getTables;0.9.0;7;3;2;1;0;1;2;0;2;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/importTable;0.9.0;12;3;2;1;1;1;6;3;1;1;4;0;4;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/getSequences;0.9.0;7;3;2;1;0;1;2;0;2;1;3;0;3;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/compareTo;0.9.0;10;4;3;1;1;1;6;2;1;2;8;0;8;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java/toString;0.9.0;2;1;0;1;0;0;1;0;1;1;2;0;2;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java/newDataSource;0.9.0;38;10;11;3;2;3;6;5;1;7;19;21;40;4;Yes
